,jmlDifabel1,jmlDifabel2,jmlDifabel3,jmlDifabel4,jmlDifabel5,jmlPemilihKosong,jmlPemilihLaki,jmlPemilihPemulaLaki,jmlPemilihPemulaPerempuan,jmlPemilihPerempuan,jmlTps,namaKabKota,namaKecamatan,namaKelurahan,namaPropinsi,persenDifabel,persenPemilihPemula,totalDifabel,totalPemilih,totalPemilihPemula
199,13,1,5,4,6,0,8893,7,5,8932,38,JAKARTA TIMUR,JATINEGARA,RAWA BUNGA,DKI JAKARTA,0.16,0.07,29,17825,12
200,0,3,1,1,1,0,11597,45,30,11523,37,JAKARTA TIMUR,KRAMATJATI,BALEKAMBANG,DKI JAKARTA,0.03,0.32,6,23120,75
201,1,3,7,5,1,0,18230,68,58,18676,60,JAKARTA TIMUR,KRAMATJATI,BATU AMPAR,DKI JAKARTA,0.05,0.34,17,36906,126
202,6,18,2,12,3,0,13121,23,26,13135,44,JAKARTA TIMUR,KRAMATJATI,CAWANG,DKI JAKARTA,0.16,0.19,41,26256,49
203,0,0,1,1,1,0,15915,44,37,16166,50,JAKARTA TIMUR,KRAMATJATI,CILILITAN,DKI JAKARTA,0.01,0.25,3,32081,81
204,0,0,1,1,1,0,9476,32,21,9526,30,JAKARTA TIMUR,KRAMATJATI,DUKUH,DKI JAKARTA,0.02,0.28,3,19002,53
205,1,5,7,3,1,0,13670,36,42,13926,46,JAKARTA TIMUR,KRAMATJATI,KRAMATJATI,DKI JAKARTA,0.06,0.28,17,27596,78
206,0,2,2,6,6,0,17162,60,39,17191,56,JAKARTA TIMUR,KRAMATJATI,TENGAH,DKI JAKARTA,0.05,0.29,16,34353,99
207,4,5,9,6,7,0,16897,49,47,17209,69,JAKARTA TIMUR,MAKASAR,CIPINANG MELAYU,DKI JAKARTA,0.09,0.28,31,34106,96
208,3,0,5,3,0,0,6961,31,30,10345,36,JAKARTA TIMUR,MAKASAR,HALIM PERDANA KUSUMA,DKI JAKARTA,0.06,0.35,11,17306,61
209,0,0,0,1,1,0,18639,44,49,18478,77,JAKARTA TIMUR,MAKASAR,KEBON PALA,DKI JAKARTA,0.01,0.25,2,37117,93
210,5,1,3,5,5,0,13699,65,45,14000,53,JAKARTA TIMUR,MAKASAR,MAKASAR,DKI JAKARTA,0.07,0.4,19,27699,110
211,4,1,2,2,1,0,10191,26,33,10279,33,JAKARTA TIMUR,MAKASAR,PINANGRANTI,DKI JAKARTA,0.05,0.29,10,20470,59
212,1,0,0,0,0,0,10494,33,40,10656,37,JAKARTA TIMUR,MATRAMAN,KAYU MANIS,DKI JAKARTA,0.0,0.35,1,21150,73
213,2,1,2,1,2,0,6251,22,22,6861,22,JAKARTA TIMUR,MATRAMAN,KEBON MANGGIS,DKI JAKARTA,0.06,0.34,8,13112,44
214,6,7,7,7,6,0,8060,22,29,8126,27,JAKARTA TIMUR,MATRAMAN,PALMERIAM,DKI JAKARTA,0.2,0.32,33,16186,51
