Kelurahan,DPT2,DPT1,DPT2_pemula,DPT2_numTPS,DPT2diff_abs,DPT2diff_pct
PEKAYON,31806,31382,80,58,424,1.35
PEKOJAN,20203,19868,74,36,335,1.69
PELA MAMPANG,37459,37663,122,68,-204,-0.54
PENGADEGAN,17161,16804,38,28,357,2.12
PENGGILINGAN,69506,68670,200,140,836,1.22
PENJARINGAN,70777,68853,257,138,1924,2.79
PESANGGRAHAN,20870,20284,65,33,586,2.89
PETAMBURAN,25382,23675,120,41,1707,7.21
PETOGOGAN,10698,10777,37,21,-79,-0.73
PETOJO SELATAN,12078,11827,47,21,251,2.12
PETOJO UTARA,15108,14903,46,24,205,1.38
PETUKANGAN SELATAN,28723,27989,73,47,734,2.62
PETUKANGAN UTARA,44299,44291,135,73,8,0.02
PINANGRANTI,20470,20303,59,33,167,0.82
PINANGSIA,9850,9735,19,17,115,1.18
PISANGAN BARU,26589,26498,101,53,91,0.34
PISANGAN TIMUR,33487,33245,80,66,242,0.73
PLUIT,39087,36961,115,72,2126,5.75
PONDOK BAMBU,48493,47682,112,95,811,1.70
PONDOK KELAPA,56726,55789,174,108,937,1.68
PONDOK KOPI,28317,28193,69,49,124,0.44
PONDOK LABU,35994,35184,109,66,810,2.30
PONDOK PINANG,48043,47217,132,90,826,1.75
PONDOK RANGGON,17944,17742,2,31,202,1.14
PULAU HARAPAN,1654,1638,14,4,16,0.98
PULAU KELAPA,4577,4474,23,11,103,2.30
PULAU PANGGANG,4292,4221,24,8,71,1.68
PULAU PARI,2104,2065,12,5,39,1.89
PULAU TIDUNG,3552,3499,16,8,53,1.51
PULAU UNTUNG JAWA,1516,1518,4,3,-2,-0.13
PULO,5430,5493,15,14,-63,-1.15
PULO GADUNG,26516,26300,2,54,216,0.82
PULO GEBANG,73176,71029,244,146,2147,3.02
RAGUNAN,34327,34518,106,59,-191,-0.55
RAMBUTAN,28722,28667,83,44,55,0.19
RAWA BADAK SELATAN,31174,30363,92,57,811,2.67
RAWA BADAK UTARA,27815,28018,71,55,-203,-0.72
RAWA BARAT,5394,5473,13,12,-79,-1.44
RAWA BUAYA,49910,48504,122,89,1406,2.90
RAWA BUNGA,17825,17784,12,38,41,0.23
RAWA TERATE,21018,20837,57,40,181,0.87
RAWAJATI,17745,17569,54,28,176,1.00
RAWAMANGUN,31824,31542,86,57,282,0.89
RAWASARI,18296,18030,69,28,266,1.48
ROA MALAKA,3362,3425,9,6,-63,-1.84
ROROTAN,29701,28931,106,52,770,2.66
SELONG,3012,3136,12,6,-124,-3.95
SEMANAN,56399,54920,170,93,1479,2.69
SEMPER BARAT,53295,52094,172,101,1201,2.31
SEMPER TIMUR,27770,26595,72,51,1175,4.42
SENAYAN,2938,3223,10,6,-285,-8.84
SENEN,5881,5971,20,9,-90,-1.51
SERDANG,24403,23868,120,40,535,2.24
SETIA BUDI,2996,2952,2,7,44,1.49
SETU,14624,14441,46,25,183,1.27
SLIPI,14316,14248,41,25,68,0.48
SRENGSENG,36093,35193,123,65,900,2.56
SRENGSENG SAWAH,45604,45495,160,79,109,0.24
SUKABUMI SELATAN,31313,30967,93,54,346,1.12
SUKABUMI UTARA,32038,32022,91,55,16,0.05
SUKAPURA,36373,34017,129,75,2356,6.93
SUMUR BATU,18809,18549,70,30,260,1.40
SUNGAI BAMBU,24199,23753,71,44,446,1.88
SUNTER AGUNG,56825,53866,169,99,2959,5.49
SUNTER JAYA,49709,47991,156,91,1718,3.58
SUSUKAN,31127,31045,74,56,82,0.26
TAMAN SARI,12721,12388,38,23,333,2.69
TAMBORA,9405,9261,30,18,144,1.55
TANAH SEREAL,22679,22391,76,43,288,1.29
TANAH TINGGI,30210,30034,138,48,176,0.59
TANGKI,11759,11581,28,20,178,1.54
TANJUNG BARAT,31575,31025,92,59,550,1.77
TANJUNG DUREN SELATAN,21492,21317,38,38,175,0.82
TANJUNG DUREN UTARA,14724,14479,32,27,245,1.69
TANJUNG PRIOK,26130,25322,89,54,808,3.19
TEBET BARAT,19970,19656,56,44,314,1.60
TEBET TIMUR,15588,15085,57,29,503,3.33
TEGAL ALUR,69349,68977,208,116,372,0.54
TEGAL PARANG,25602,25353,98,45,249,0.98
TENGAH,34353,34104,99,56,249,0.73
TOMANG,26170,26242,76,46,-72,-0.27
TUGU SELATAN,28321,26827,78,55,1494,5.57
TUGU UTARA,50992,49376,190,96,1616,3.27
UJUNG MENTENG,22900,22216,73,44,684,3.08
ULUJAMI,32327,32089,70,54,238,0.74
UTAN KAYU SELATAN,27962,27828,100,54,134,0.48
UTAN KAYU UTARA,23897,23736,66,44,161,0.68
UTAN PANJANG,23991,23940,106,39,51,0.21
WARAKAS,32512,31095,144,65,1417,4.56
WIJAYA KUSUMA,32460,31856,89,61,604,1.90
